GeneID	Base mean	log2(FC)	StdErr	Wald-Stats	P-value	P-adj
gene-J2S48_RS17750	1882.48824569755	2.96110242169101	0.299426494690661	9.88924652359215	4.635032779198e-23	3.38260829698554e-21
gene-J2S48_RS13785	2684.75036691384	3.11520404334909	0.316786360239166	9.83376948741476	8.05462109180859e-23	5.75823218053173e-21
gene-J2S48_RS00400	1144.56700871318	3.38450473227316	0.345386953894227	9.79916784381395	1.13516959739186e-22	7.95299819932739e-21
gene-J2S48_RS21140	613.00907364002	3.57797488451058	0.367544775745855	9.73480000429834	2.1423870446303e-22	1.47152584653724e-20
gene-J2S48_RS07055	359.65955584202	-3.20302966792266	0.331330522609568	-9.66717356039378	4.15700208007402e-22	2.8003804397114e-20
gene-J2S48_RS13310	574.031072679435	3.73133732581246	0.389615267170072	9.57697924137988	9.99247377866771e-22	6.60445955597604e-20
gene-J2S48_RS17385	2622.70822913844	-4.11552119302619	0.430894357481046	-9.55111414566904	1.28308887153022e-21	8.32344503142658e-20
rna-J2S48_RS10600	112.462843385724	-6.48500156238115	0.682078081500269	-9.50771141643641	1.94903093452942e-21	1.24135552066483e-19
gene-J2S48_RS25900	1405.47392285088	-4.80432294340615	0.50739769354761	-9.46855495107872	2.83741655260135e-21	1.7749053899576e-19
gene-J2S48_RS02165	348.924948526072	-3.36723061005039	0.360432790098455	-9.34218723310552	9.43642532755084e-21	5.6026776139679e-19
gene-J2S48_RS06970	317.608090768339	-3.48327752810652	0.372827345811892	-9.34287027825471	9.37572912198705e-21	5.6026776139679e-19
gene-J2S48_RS07235	1150.54688332681	-3.15024453355932	0.337184507517599	-9.34279144896625	9.38271423155862e-21	5.6026776139679e-19
gene-J2S48_RS05740	258.531409908873	4.6303450269998	0.496053120541251	9.33437334684552	1.01590413183925e-20	5.93118695638814e-19
MSTRG.2974.1	150.068746211415	-4.0008546315592	0.43171903164214	-9.26726490685633	1.9098025910286e-20	1.09672761907757e-18
gene-J2S48_RS08550	254.838474122172	3.86960762885636	0.420441896748998	9.20366799497743	3.45934916460858e-20	1.95453227800385e-18
gene-J2S48_RS22865	529.82971583671	-3.39075579068405	0.36885948119746	-9.19254069239688	3.83670243698185e-20	2.13332835503927e-18
MSTRG.2943.1	840.363716250404	2.81182266324031	0.306733798276125	9.16698022533883	4.86454986818649e-20	2.6625809669152e-18
gene-J2S48_RS11120	1467.29937192572	-3.11882072810043	0.341986211655389	-9.11972653225912	7.53141298693528e-20	4.01154451237038e-18
gene-J2S48_RS01630	456.526929217227	3.74167260528306	0.410300700392556	9.11934247663535	7.55814838185685e-20	4.01154451237038e-18
MSTRG.1822.1	8058.70241179595	4.43234545685572	0.486983550829942	9.10163279499255	8.8983841807741e-20	4.65239399779876e-18
gene-J2S48_RS17810	3983.95523829754	3.3665855922964	0.372709100458408	9.03274319879958	1.67421224211036e-19	8.62465512369499e-18
MSTRG.11.1	963.726347419693	-4.36258965264973	0.483778521398681	-9.01774150707806	1.92006748991974e-19	9.74782089447662e-18
gene-J2S48_RS13595	2144.70478341828	2.58090223236003	0.287502728703072	8.97696604133988	2.7833575665031e-19	1.39287165078005e-17
gene-J2S48_RS17310	421.535020631328	-3.71152230074318	0.414138451869681	-8.96203258593119	3.18747625622696e-19	1.57263793317789e-17
gene-J2S48_RS18320	6702.95646790425	-2.65259556803593	0.297888832337287	-8.90464925194816	5.35551106375603e-19	2.60560489671352e-17
gene-J2S48_RS06485	2856.5009314708	3.68398528938069	0.414105713286054	8.89624357062633	5.77687222862707e-19	2.7386121640473e-17
gene-J2S48_RS16875	888.33258622183	-3.16494762121233	0.355768684035503	-8.8960826605427	5.78524978988011e-19	2.7386121640473e-17
gene-J2S48_RS08470	2926.70656742706	2.51038443192984	0.283043727922406	8.86924593014841	7.36428760966377e-19	3.43961326622029e-17
gene-J2S48_RS24720	1113.5742223037	-5.24038528244337	0.591656988867586	-8.85713408451967	8.20977632001064e-19	3.78405874328911e-17
MSTRG.47.1	86590.8945608082	4.48358153724164	0.506411072468065	8.85364041388408	8.47099974129367e-19	3.85375481737035e-17
gene-J2S48_RS15180	399.374300894054	-2.88620192990946	0.326675400422665	-8.8350758158563	1.00030394718829e-18	4.49239067564176e-17
gene-J2S48_RS14405	5419.2952738576	-3.00818170009948	0.340875253306104	-8.82487558402531	1.09581566967573e-18	4.85904087452415e-17
rna-J2S48_RS10595	510.30743549691	-3.53180211755496	0.400917151756136	-8.80930661630369	1.25922318973288e-18	5.51382354204285e-17
rna-J2S48_RS16000	287.601096379567	-4.26167741102586	0.484602117179992	-8.79417827521166	1.44098630537344e-18	6.23182102188045e-17
MSTRG.190.1	2662.44803185715	4.9118786869903	0.560761771418809	8.75929661639118	1.96472492091571e-18	8.39320902191188e-17
gene-J2S48_RS25070	638.587042858174	3.08601233208577	0.353719548321681	8.72446079592774	2.67451925877955e-18	1.12877601969937e-16
gene-J2S48_RS24730	1423.73707789883	-3.75382264420291	0.431972656459146	-8.68995430167448	3.62585307855405e-18	1.51206706359224e-16
gene-J2S48_RS06480	8674.62182585647	5.12440532348901	0.590581248014883	8.67688457890195	4.0675754370081e-18	1.67631961833404e-16
MSTRG.99.1	339.124252197141	-2.93013280106609	0.340749450333627	-8.59908298662612	8.03555680368708e-18	3.27055901666786e-16
gene-J2S48_RS21205	55.9507247065473	7.66488419883524	0.891489028453398	8.59784467805811	8.12271294462186e-18	3.27055901666786e-16
rna-J2S48_RS19430	116.022320865113	-4.4337454403439	0.518133682560966	-8.55714575132297	1.1569622486076e-17	4.60549858735504e-16
gene-J2S48_RS17785	2230.4327995823	2.94902857020508	0.345458353012152	8.53656756159359	1.38267846600119e-17	5.44216029932827e-16
gene-J2S48_RS01875	382.784549659848	-3.08839953840489	0.363481055335429	-8.49672766454042	1.95010241844782e-17	7.5902319686919e-16
gene-J2S48_RS12395	1006.72575684681	3.31304085508028	0.390021383526652	8.49451080123632	1.98768309505999e-17	7.65148778241226e-16
MSTRG.20.1	136.141973171486	-4.64800794657775	0.547669315637788	-8.48688764161437	2.12244797888664e-17	8.06249556177214e-16
gene-J2S48_RS20130	1184.75707526881	-2.25251455249305	0.265441916067341	-8.48590375576404	2.14048554737314e-17	8.06249556177214e-16
gene-J2S48_RS13420	2582.14855770746	-4.4175265628114	0.52164811133075	-8.46840325280211	2.48779743460938e-17	9.27101533344325e-16
gene-J2S48_RS07360	873.166713917086	-3.7850342169501	0.447921549943693	-8.45021682351721	2.90762326145605e-17	1.07214781946111e-15
rna-J2S48_RS10510	240.019628798616	-3.6390333976952	0.431569642826799	-8.43208844315225	3.39550196524004e-17	1.23900451919124e-15
gene-J2S48_RS20520	716.95490249748	2.76165507268726	0.329317063430782	8.38600661598491	5.02935060241609e-17	1.81626960415088e-15
gene-J2S48_RS04535	76797.9591855594	-3.33734099070378	0.398274310726159	-8.37950352514308	5.31514240352677e-17	1.89989222852595e-15
MSTRG.1329.1	81.4401322335741	-7.69934712402891	0.920238346223634	-8.36668799515321	5.92603399723235e-17	2.09685829215201e-15
gene-J2S48_RS19520	229.946859493806	-3.33626036344586	0.400509830224241	-8.33003365130371	8.08193789081091e-17	2.83110284315106e-15
gene-J2S48_RS14735	824.312205026117	-2.58795904097223	0.312281877773816	-8.2872533603973	1.15893593599328e-16	3.99977315687431e-15
gene-J2S48_RS25940	976.833249897785	3.81502628359978	0.460381206389681	8.28666815814942	1.1646499057984e-16	3.99977315687431e-15
gene-J2S48_RS00240	149.881865319161	4.41816712658943	0.534529451303779	8.2655260918047	1.39080018636501e-16	4.73007092508412e-15
MSTRG.2270.1	3307.22056561865	2.64992400840686	0.32115923877848	8.25112183752139	1.56914471946932e-16	5.28530187721252e-15
gene-J2S48_RS19885	567.678975284511	-3.09171281305281	0.374778939717188	-8.24943049197442	1.59151143915387e-16	5.30958530605335e-15
gene-J2S48_RS26115	2155.95292976296	2.50177007210251	0.30465133274747	8.21191244935819	2.17692987439728e-16	7.19413712265442e-15
gene-J2S48_RS19745	658.168990096526	-3.03198789764572	0.369708664783379	-8.20101930643752	2.38357243458259e-16	7.80341517602133e-15
gene-J2S48_RS04045	1851.82485121754	-3.03573708490679	0.370257747295616	-8.19898329496137	2.42428609390093e-16	7.8632168397546e-15
gene-J2S48_RS04250	663.160381804158	-2.90646577608297	0.355968725228807	-8.16494700261875	3.2157636865386e-16	1.03346974256374e-14
gene-J2S48_RS12575	2030.21638968709	-3.62253089799543	0.443919768371457	-8.1603279603539	3.34116141725845e-16	1.06400804042331e-14
gene-J2S48_RS07555	1335.67627648912	2.96320374619474	0.366035751944032	8.09539431724096	5.70791501532068e-16	1.80133570258273e-14
gene-J2S48_RS08825	290.21239057427	3.50305088727963	0.433447919694594	8.08182650812553	6.38038336526581e-16	1.99557883290412e-14
gene-J2S48_RS22375	539.257724609751	3.04040490309814	0.376338845878553	8.0789026601822	6.53521645053316e-16	2.02591709966528e-14
gene-J2S48_RS10995	784.886810712286	-2.91025535667378	0.361306299888072	-8.05481486919917	7.95991939573736e-16	2.44592961783052e-14
gene-J2S48_RS07850	257.112361993786	-3.41315350593915	0.425287775756913	-8.0255151934817	1.01100741883011e-15	3.07961651144511e-14
gene-J2S48_RS18920	811.765432914284	-2.73421262250429	0.341897010120221	-7.99718202140129	1.27298984646638e-15	3.84420985532047e-14
gene-J2S48_RS02465	195.783701664888	3.13051122273365	0.391507650046623	7.99604100293023	1.28483610257961e-15	3.84682125413364e-14
MSTRG.3408.1	65.7095372161768	-7.4087195246985	0.927593031373694	-7.98703663580434	1.38221025031921e-15	4.10329026005779e-14
MSTRG.1958.1	1999.43614780857	-3.50539656143	0.439273350244548	-7.97998913314116	1.46346174389326e-15	4.30798864609924e-14
gene-J2S48_RS12465	380.498549906595	-3.58595719449142	0.449861916672816	-7.97123975510798	1.57090409921316e-15	4.54783228061462e-14
gene-J2S48_RS24745	218.569161128019	2.91160574500347	0.365245475865218	7.9716408207556	1.56581334917911e-15	4.54783228061462e-14
gene-J2S48_RS12830	249.469276550604	-3.04754028021108	0.382603168275718	-7.96527716679782	1.6485385150185e-15	4.73346755582772e-14
gene-J2S48_RS25080	5402.70057623347	-2.59433599992661	0.326313862555962	-7.95043146376195	1.85863043408195e-15	5.29331903299926e-14
MSTRG.2376.1	1334.85307630497	3.61352535859698	0.454741894746597	7.94632163946673	1.92131179781396e-15	5.42770582882443e-14
gene-J2S48_RS14750	1344.18851147199	-2.89879045381883	0.365337210669205	-7.93456119213528	2.11240850936391e-15	5.91981360664141e-14
gene-J2S48_RS20525	727.678832315213	2.40532401522438	0.3033746634207	7.92855932035706	2.21702752167549e-15	6.16368841938829e-14
gene-J2S48_RS04195	505.481278248397	2.92749791129493	0.369517046024996	7.92249760271385	2.32786579931433e-15	6.42087708267567e-14
gene-J2S48_RS16880	328.703340283209	-3.18744407105376	0.402685807809984	-7.91546165579746	2.46337308743789e-15	6.74155931663667e-14
gene-J2S48_RS19270	1359.84094311137	-2.89910179125815	0.36668699172793	-7.90620299235809	2.65358345514281e-15	7.20581615764748e-14
gene-J2S48_RS18915	800.996961524055	-2.44395541852986	0.309337801866016	-7.9006038181794	2.77555548505248e-15	7.47905451087604e-14
gene-J2S48_RS04030	1634.96182354062	-3.65258029728462	0.462519522762579	-7.89713756398467	2.85381349652316e-15	7.63122799871805e-14
gene-J2S48_RS21880	2705.52343937425	-2.46445262491793	0.312129775022869	-7.89560247732652	2.88916172046598e-15	7.66722235363056e-14
rna-J2S48_RS24910	63.0834760278	-7.35540274512029	0.934925950325472	-7.86736397953194	3.62191721953952e-15	9.53953084214055e-14
gene-J2S48_RS21045	492.280597982534	3.20894114662531	0.409129484538418	7.84333876656594	4.38722326690313e-15	1.14689873910162e-13
MSTRG.12.1	265.20682037427	3.49528596265362	0.446099986968147	7.83520749778276	4.68069077674531e-15	1.21455257710658e-13
gene-J2S48_RS09620	379.028086349121	-2.82539696406447	0.361160605373272	-7.82310396546247	5.15365070106997e-15	1.32744400043001e-13
gene-J2S48_RS02795	3217.15868566026	2.87535123519415	0.368874490286519	7.79493109691798	6.44436339627802e-15	1.6477813851943e-13
gene-J2S48_RS18085	12783.3081572527	2.26054248496556	0.29037879089503	7.78480576352676	6.98203901308148e-15	1.77232483063945e-13
gene-J2S48_RS02340	1271.19779051684	-4.46419949560864	0.575215667547537	-7.76091429262002	8.43192872599812e-15	2.12496736166701e-13
gene-J2S48_RS08750	1045.86274363787	3.4763755024103	0.448525015146826	7.75068365199721	9.13991262136938e-15	2.28693670804693e-13
gene-J2S48_RS02205	438.867782649176	2.90675113090044	0.375511599573539	7.74077587536997	9.88119491441264e-15	2.44402055874052e-13
MSTRG.2107.1	729.530155621028	-3.18036301472456	0.410923564875085	-7.7395488761793	9.97701798172692e-15	2.44402055874052e-13
rna-J2S48_RS24235	65.343792066083	-6.10828318764745	0.789139875490323	-7.74043154751512	9.90799356179516e-15	2.44402055874052e-13
MSTRG.625.1	14858.0216490813	-2.69776538172494	0.348694227458848	-7.73676524955759	1.01978100309128e-14	2.48075892626998e-13
rna-J2S48_RS15085	591.282453447995	-2.95994339881975	0.382956016017507	-7.72919937281893	1.0822506449646e-14	2.61456828228345e-13
gene-J2S48_RS17320	1612.51026229924	3.55003008049389	0.459435212566622	7.72694382884095	1.10159224540111e-14	2.64306687372608e-13
gene-J2S48_RS00495	1510.77392732728	-3.41077808614086	0.441846706581142	-7.71936971655234	1.16906345728154e-14	2.78587026588928e-13
gene-J2S48_RS13070	423.94095699675	-2.592305060199	0.335968344984382	-7.71592055888333	1.20112110551963e-14	2.84292380583464e-13
gene-J2S48_RS07795	1037.06959527321	-2.85707388939949	0.370677478432485	-7.70770833308092	1.28097089372447e-14	3.01157116826633e-13
gene-J2S48_RS15265	98.5009749196019	5.7001695452882	0.740102346017132	7.70186660799512	1.34092828095533e-14	3.13151451212435e-13
gene-J2S48_RS04415	9334.57243557399	1.93742983011024	0.251747545775433	7.69592340669127	1.40475944088266e-14	3.25885584199468e-13
MSTRG.1727.1	6158.79205634699	4.3973716715849	0.571491694529693	7.69455044347355	1.41992519992145e-14	3.27236708902951e-13
gene-J2S48_RS10180	295.637850751137	4.01014303386802	0.525459870294933	7.63168276126811	2.31709057127284e-14	5.3050773014175e-13
gene-J2S48_RS25370	2102.92631511563	2.8303325749932	0.370953071811894	7.62989388703171	2.34947017984955e-14	5.34428184416427e-13
gene-J2S48_RS17260	780.813482863705	-3.35544331158234	0.439879310435723	-7.62809987189122	2.3823897437974e-14	5.38420082098212e-13
gene-J2S48_RS10260	401.418617795754	2.96398249412756	0.390019559882154	7.59957396758033	2.97107225273141e-14	6.67158083417828e-13
gene-J2S48_RS00840	271.079473368789	4.19774282796002	0.553363616503351	7.58586705516552	3.30270933799961e-14	7.36903873312906e-13
gene-J2S48_RS16890	457.267054297147	-2.45776790609615	0.325570562790478	-7.54910973839443	4.3824350366753e-14	9.7162467933377e-13
gene-J2S48_RS25005	916.072689157588	-3.2378406477529	0.429186574267708	-7.54413311571409	4.55305893177494e-14	1.00310474452878e-12
gene-J2S48_RS13810	337.971586032444	2.94696639966413	0.394487262892556	7.47037148438117	7.99687385620115e-14	1.75081556989204e-12
MSTRG.2121.1	314.043730867512	-3.60765307490286	0.483904353644818	-7.45530195735922	8.96622417760968e-14	1.95084989404762e-12
gene-J2S48_RS07855	304.260212198129	-3.17967729204464	0.427012990034696	-7.44632450592727	9.59765610356955e-14	2.07534502042001e-12
rna-J2S48_RS24160	573.539973123146	-2.99297376427122	0.402791481704274	-7.4305786001419	1.08123662595375e-13	2.32366374277054e-12
gene-J2S48_RS13390	6693.60651051384	2.53123381156038	0.340877937492009	7.4256310930059	1.12243435546805e-13	2.39749240683206e-12
gene-J2S48_RS01380	1705.40879930593	2.50845505309603	0.339444979421582	7.38987230675932	1.46969887472239e-13	3.10141876997141e-12
rna-J2S48_RS15560	341.002084788851	-4.67013912430974	0.631937542799328	-7.39019097302271	1.46618077728162e-13	3.10141876997141e-12
gene-J2S48_RS01390	857.34975439588	2.89043992754432	0.391651259907952	7.38013693157439	1.58126816527075e-13	3.31687567840925e-12
